"","state","county","year_court_estab","felonies","misdemeanors","court","year","population","per_capita_income","percent_employed","prop_17","prop_64","prop_65","graduate_hs","graduate_college","death_rate","percent_male","percent_white","percent_black","average_age","avg_never_married","avg_married","avg_divorced","percent_below_pov","unemployment_rate","homelessness_count","county_fips","years_since","percent_homeless","county_state_code","Group","match"
"22","CO","Broomfield",2015,0,0,0,2007,1539608,58634,0.41197291,0.26587173,0.65284532,0.081282973,0.84912115,0.31298393,228,0.49589396,0.91623735,0.013756001,33.936764,0.25922063,0.56998301,0.10631309,0.06388066,3.6,8698,14,-8,56.4949,"1400586340",TRUE,1
"23","FL","Broward",1997,0,1,1,2007,1746968,16883,0.44232124,0.20439702,0.58792281,0.2076802,0.76437026,0.24298149,108,0.47883931,0.81687999,0.15408112,41.368515,0.23536855,0.53637004,0.10250517,0.071245596,2.9,3154,11,0,18.054136,"1100168830",TRUE,1
"24","MN","Brown",0,0,0,0,2007,25926,11244,0.44607916,0.2741254,0.54973316,0.17614141,0.73358917,0.18562292,101,0.48428699,0.99284762,0.00044470798,38.236881,0.22919892,0.62113005,0.050841719,0.061402276,4.9,446,15,0,172.02808,"1500112440",FALSE,1
"25","WI","Brown",2015,0,0,0,2007,243170,13906,0.58568609,0.27056846,0.62147856,0.10795297,0.825553,0.24420612,69,0.48775914,0.95902753,0.0052005714,34.636311,0.27613163,0.57496268,0.073603116,0.066762596,4.5,3105,9,-8,127.68845,"900139060",TRUE,1
"26","PA","Bucks",0,0,0,0,2007,621334,18292,0.40815893,0.25673628,0.63440406,0.10885963,0.82944202,0.29633883,82,0.49234626,0.95023042,0.028295889,36.022537,0.24900322,0.60460597,0.060742665,0.028533248,3.9,262,17,0,4.2167335,"1700182920",FALSE,1
"27","TX","Burleson",0,0,0,0,2007,16560,9354,0.17915596,0.27251375,0.55280733,0.17467889,0.59016556,0.11430281,100,0.48763302,0.74664217,0.17834863,38.677284,0.19878316,0.59768039,0.072915673,0.1772051,3.9,289,51,0,174.51691,"510093540",FALSE,1
"28","CA","Butte",0,0,0,0,2007,217741,12083,0.26703823,0.23547111,0.5919174,0.17261146,0.79108727,0.25369149,108,0.49003953,0.90709424,0.01296398,37.910603,0.27408099,0.52827513,0.098154441,0.1222598,6.6,1478,7,0,67.878807,"700120830",FALSE,1
"29","LA","Caddo",0,0,0,0,2007,252414,11604,0.43253052,0.28559172,0.58117729,0.13323101,0.73189551,0.20149098,102,0.46699938,0.59044605,0.40084511,35.936863,0.26310709,0.50172603,0.09425658,0.19108231,5,857,17,0,33.952156,"1700116040",FALSE,1
"30","MI","Calhoun",2015,1,1,0,2007,136689,12729,0.42990986,0.26616022,0.60029268,0.13354708,0.76802737,0.2002328,102,0.48379934,0.87318176,0.10577136,36.712543,0.24214178,0.54815137,0.11037899,0.10969055,7,205,25,-8,14.997549,"2500127290",TRUE,1
"31","MS","Calhoun",0,0,0,0,2007,14602,8806,0.24738395,0.26308024,0.56761467,0.16930507,0.54024667,0.1067154,118,0.47752884,0.72638851,0.27012342,38.302254,0.21143492,0.58106142,0.067686521,0.17184904,8.2,385,13,0,263.66251,"130088060",FALSE,1
"32","OK","Canadian",0,0,0,0,2007,103948,13077,0.17187437,0.30184519,0.61519438,0.082960397,0.8149159,0.21337819,64,0.5005846,0.90651667,0.024405649,33.685631,0.18735705,0.65484017,0.089869425,0.064531922,3.7,231,17,0,22.222651,"1700130770",FALSE,1
"33","MD","Caroline",0,0,0,0,2007,32973,11926,0.21882744,0.26262254,0.59348994,0.14388755,0.67292386,0.1472193,96,0.48511189,0.82689106,0.16493434,37.258442,0.22447816,0.58294898,0.071275733,0.086624719,4.5,311,11,0,94.319595,"1100119260",FALSE,1
"34","MD","Carroll",0,0,0,0,2007,169373,16320,0.30722532,0.26561943,0.632599,0.10178161,0.79090708,0.23131146,76,0.49240509,0.96728593,0.023773627,35.27486,0.21479839,0.63969743,0.060359079,0.02497872,3.2,174,13,0,10.273184,"1300163200",FALSE,1
"35","TN","Carter",0,0,0,0,2007,58938,9809,0.20801865,0.22112416,0.62696826,0.15190758,0.59738678,0.13685913,114,0.48296282,0.98559362,0.0088535091,38.95018,0.20158355,0.6021744,0.095438428,0.14527363,4.8,559,19,0,94.845428,"190098090",FALSE,1
"36","MN","Cass",0,0,0,0,2007,28640,8991,0.17121747,0.2720848,0.53595519,0.19195998,0.7243796,0.16909768,121,0.5025928,0.88609976,0.0017897297,40.146206,0.19724853,0.62980169,0.073432192,0.16057312,7.2,389,21,0,135.82402,"210089910",FALSE,1
"37","ID","Cassia",0,0,0,0,2007,20959,9726,0.30181241,0.36575875,0.5101884,0.12405284,0.71312869,0.18271644,72,0.5029183,0.90006143,0.0001535941,33.271351,0.1857429,0.66360062,0.074104294,0.12012195,3.2,1168,31,0,557.2785,"310097260",FALSE,1
"38","IL","Champaign",0,0,0,0,2007,192975,13130,0.3732062,0.21826904,0.69429272,0.087438233,0.89729488,0.34734875,63,0.50566101,0.84673315,0.095702931,32.700558,0.39478359,0.47071281,0.075481489,0.080344997,4.3,429,19,0,22.23086,"1900131300",FALSE,1
"40","GA","Chatham",2007,0,0,0,2007,248596,12983,0.47081846,0.26406989,0.60837579,0.12755434,0.73694634,0.21403547,92,0.47854888,0.60205591,0.3807961,35.726383,0.26314756,0.51694667,0.10080053,0.13572079,4.3,514,51,0,20.676117,"5100129830",TRUE,1
"41","PA","Chester",2008,1,1,0,2007,487567,20601,0.4313117,0.24980339,0.64132988,0.10886673,0.8475191,0.37608135,73,0.48996535,0.91640455,0.063749351,36.051357,0.26993206,0.59013718,0.061195098,0.029687375,3.2,387,29,-1,7.9373708,"2900206010",TRUE,1
"42","VT","Chittenden",2004,1,1,1,2007,150698,16096,0.53011131,0.233878,0.68540007,0.080721915,0.87391478,0.3772226,62,0.48521185,0.97826368,0.0062157996,33.501308,0.3552416,0.50192696,0.079379208,0.050406609,3.3,239,7,3,15.859533,"700160960",TRUE,1
"43","OR","Clackamas",2001,0,1,1,2007,375610,16360,0.36994442,0.26682088,0.61846155,0.11471759,0.84482288,0.28907207,76,0.49128923,0.96280795,0.0040667024,36.4076,0.2062109,0.62318116,0.096829906,0.046571948,4.6,1576,5,6,41.958416,"500163600",TRUE,1
"44","NV","Clark",2003,1,0,1,2007,1838635,15109,0.65415889,0.24520439,0.65003192,0.10476372,0.76726782,0.17950629,79,0.50725394,0.81280017,0.09540379,35.777946,0.24581829,0.52321678,0.14802675,0.075171828,4.6,7533,3,0,40.970612,"300151090",TRUE,1
"45","GA","Clarke",2008,0,0,0,2007,113457,11604,0.45791948,0.20037901,0.71335936,0.086261615,0.82865775,0.32234967,57,0.47719023,0.70700049,0.26183301,32.054386,0.48187354,0.37370598,0.068560198,0.14247252,4.2,464,59,-1,40.896549,"5900116040",TRUE,1
