"","state","county","year_court_estab","felonies","misdemeanors","court","year","population","per_capita_income","percent_employed","prop_17","prop_64","prop_65","graduate_hs","graduate_college","death_rate","percent_male","percent_white","percent_black","average_age","avg_never_married","avg_married","avg_divorced","percent_below_pov","unemployment_rate","homelessness_count","county_fips","years_since","percent_homeless","county_state_code","Group","match"
"801","UT","Wasatch",0,0,0,0,2009,21600,10722,0.25661612,0.39508376,0.51214194,0.092774309,0.81715393,0.24115652,62,0.50133806,0.98493409,0.00029735354,31.082268,0.19739988,0.67603105,0.058876269,0.062227506,8.3,299,51,0,138.42592,"5100107220",FALSE,1
"803","MN","Washington",0,0,0,0,2009,231958,17435,0.30533394,0.30374375,0.63118935,0.065066896,0.88999712,0.33065844,45,0.50163132,0.96826506,0.01097357,32.725723,0.23510842,0.6368143,0.077464856,0.036307316,7.4,840,163,0,36.213451,"16300174350",FALSE,1
"804","OR","Washington",2007,0,0,1,2009,537318,16351,0.57662237,0.26828736,0.63039476,0.10131791,0.86754775,0.35365003,62,0.48888153,0.91945219,0.0066055963,34.821808,0.23093443,0.59778339,0.10119613,0.047637802,9.1,748,67,2,13.920993,"6700163510",TRUE,1
"805","NV","Washoe",2001,1,1,1,2009,414820,16365,0.59244817,0.23119996,0.66615617,0.10264385,0.81206745,0.24941479,76,0.5068894,0.88387972,0.022303635,35.979523,0.24973553,0.52486974,0.14797437,0.062574096,11.5,700,31,8,16.874788,"3100163650",TRUE,1
"806","MI","Washtenaw",2014,0,1,0,2009,347563,17115,0.50237334,0.21593499,0.70904475,0.075020231,0.88479084,0.41009742,53,0.49451643,0.83548635,0.11210977,32.988102,0.40009785,0.46321514,0.080856979,0.064036585,8.4,342,161,-5,9.8399429,"16100171150",TRUE,1
"807","MI","Wayne",2009,1,1,0,2009,1925848,13016,0.34611711,0.27022803,0.60451573,0.12525626,0.69911921,0.17874862,98,0.4740409,0.57395202,0.40209985,35.716183,0.33093366,0.44049126,0.1059425,0.16851269,15.4,4122,163,0,21.403559,"16300130160",TRUE,1
"808","TN","Wayne",0,0,0,0,2009,16506,8240,0.24499461,0.25662002,0.59598136,0.14739864,0.5394876,0.057863928,129,0.48955867,0.98758525,0.0098313596,37.784641,0.17796764,0.64533722,0.075804397,0.14888996,13,226,181,0,136.91991,"1810082400",FALSE,1
"809","TN","White",0,0,0,0,2009,25444,9299,0.32135391,0.23912394,0.59980088,0.16107516,0.5446946,0.084978938,115,0.48332503,0.97829765,0.018815331,39.176903,0.17093858,0.64047796,0.081166416,0.14075314,13.7,1229,185,0,483.02155,"1850092990",FALSE,1
"810","TX","Wilbarger",0,0,0,0,2009,13541,9823,0.30447721,0.26393756,0.54837644,0.187686,0.62485421,0.1683266,120,0.493552,0.79425967,0.089213677,39.030155,0.19488953,0.59015012,0.081210993,0.15524441,4.7,242,487,0,178.71649,"4870098230",FALSE,1
"811","MN","Wilkin",0,0,0,0,2009,6264,10108,0.27727515,0.28286323,0.54536986,0.17176689,0.74777943,0.24389341,95,0.49507716,0.98802555,0.000266099,38.168575,0.22006643,0.63310611,0.048243314,0.090077072,5.5,272,167,0,434.22733,"16700101080",FALSE,1
"812","IL","Will",2010,1,0,0,2009,685251,15186,0.32622659,0.29790968,0.61578226,0.086308084,0.80393159,0.23157848,61,0.499145,0.84917146,0.10735966,33.287983,0.25994378,0.5984776,0.069935426,0.04541513,10.2,2073,197,-1,30.251688,"19700151860",TRUE,1
"813","LA","Winn",0,0,0,0,2009,15331,8728,0.26572007,0.2781978,0.56961089,0.15219128,0.58253253,0.097627349,111,0.49499047,0.69721556,0.29491672,36.996681,0.2173494,0.55783135,0.079759039,0.22390847,8.4,151,127,0,98.493248,"1270087280",FALSE,1
"814","IL","Winnebago",2005,0,0,1,2009,299702,14516,0.51682198,0.26216128,0.6111232,0.12671551,0.75938272,0.21214652,88,0.48481098,0.87950796,0.09195257,36.344936,0.24105997,0.57434094,0.098587334,0.077090792,15.2,567,201,4,18.918793,"20100145160",TRUE,1
"815","IA","Woodbury",2001,0,1,1,2009,102831,12218,0.47634214,0.28062803,0.57240832,0.14696366,0.78044444,0.22127792,90,0.48114493,0.93713623,0.019099271,36.518509,0.24176221,0.57116735,0.086468525,0.10240503,5.7,289,193,8,28.104366,"19300122180",TRUE,1
"816","MA","Worcester",0,0,0,0,2009,803701,15500,0.38723272,0.24404365,0.61890507,0.13705131,0.78164148,0.27852634,93,0.48713478,0.93809116,0.02127081,36.614853,0.28697339,0.54378438,0.07549566,0.063116871,8.9,1397,27,0,17.382086,"2700155000",FALSE,1
"817","CA","Yolo",2013,0,0,0,2009,199407,13861,0.3702336,0.24100587,0.66360956,0.095384575,0.81400806,0.31912795,68,0.49569786,0.75917131,0.022481784,33.341679,0.35958874,0.47767547,0.089816719,0.098207712,11.5,491,113,-4,24.623007,"11300138610",TRUE,1
"818","ME","York",0,0,0,0,2009,201876,14131,0.26609027,0.2611081,0.61246634,0.12642553,0.79533565,0.24411602,85,0.48680636,0.98683369,0.0033720767,36.394608,0.22559142,0.60692424,0.08430282,0.047435869,8,2444,31,0,121.06441,"3100141310",FALSE,1
"819","CA","Yuba",0,0,0,0,2009,72925,9874,0.1570722,0.3169094,0.57743698,0.10565364,0.67860633,0.16352926,69,0.50010306,0.78211516,0.041852716,32.965103,0.21624766,0.58293569,0.10602283,0.1599815,17.5,411,115,0,56.359272,"1150098740",FALSE,1
"820","ID","Ada",2005,1,0,1,2010,393354,14268,0.63142753,0.28304216,0.61271292,0.10424493,0.86338603,0.2980963,60,0.49193051,0.9665314,0.0046555703,34.368584,0.22350383,0.59506768,0.11331606,0.061883409,8.1,872,1,5,22.168327,"100142680",TRUE,1
"821","IA","Adams",0,0,0,0,2010,4023,10110,0.20468557,0.24434854,0.53842992,0.21722154,0.77108759,0.16164903,124,0.49075216,0.99609536,0.0006165228,41.924374,0.16580844,0.66297632,0.056385171,0.14103472,4.9,1686,3,0,4190.9023,"300101100",FALSE,1
"823","CA","Alameda",2009,1,1,1,2010,1512986,17547,0.42973167,0.23718673,0.65666729,0.10614596,0.81241018,0.33471027,71,0.4927696,0.59554857,0.17921531,35.480156,0.32184255,0.48303875,0.10394745,0.081192605,11.2,4341,1,1,28.691607,"100175470",TRUE,1
"826","PA","Allegheny",2001,1,1,1,2010,1223957,15115,0.49090165,0.21114387,0.61532837,0.17352776,0.79881316,0.27725053,118,0.46895316,0.87504423,0.11190102,39.938023,0.28601116,0.51868349,0.069801249,0.087094598,7.3,1265,3,9,10.33533,"300151150",TRUE,1
"827","AK","Anchorage",1998,1,1,1,2010,293321,19620,0.43861836,0.29463899,0.66887575,0.036485255,0.89383018,0.31626469,39,0.51412934,0.80735892,0.064257883,30.583635,0.26655084,0.56099081,0.12234332,0.054173402,6.8,1231,20,12,41.967674,"2000196200",TRUE,1
"828","MO","Andrew",0,0,0,0,2010,17344,10984,0.10757244,0.27009293,0.57251233,0.15739475,0.78313816,0.1587822,97,0.4859896,0.99207217,0.0020503006,37.976078,0.17061947,0.66522121,0.069734514,0.1054111,8.2,164,3,0,94.557198,"300109840",FALSE,1
"829","MD","Annearundel",2003,1,1,1,2010,539284,18509,0.36949575,0.24620411,0.66587085,0.087925024,0.81338042,0.27485532,68,0.50342315,0.85655338,0.11825933,35.004768,0.25897187,0.57874036,0.07579945,0.030496268,7.1,395,3,7,7.3245268,"300185090",TRUE,1
"830","VA","Appomattox",0,0,0,0,2010,15098,10795,0,0.24914621,0.60359406,0.14725971,0.62385821,0.12222706,103,0.48389983,0.76914948,0.22898032,38.383396,0.20869477,0.62087971,0.058271252,0.09997192,8.8,255,11,0,168.89655,"1100107950",FALSE,1
"831","VA","Arlington",0,0,0,0,2010,209295,25633,0.63123041,0.15139,0.73506457,0.11354542,0.86823124,0.54051429,64,0.49138275,0.76562572,0.10495156,37.753002,0.3995156,0.42626479,0.089538485,0.042726457,4.2,535,13,0,25.562006,"1300256330",FALSE,1
"833","AL","Autauga",0,0,0,0,2010,54773,11182,0.22053066,0.29507333,0.60639358,0.098533109,0.69678783,0.17364848,86,0.48661679,0.79317397,0.20001753,34.479897,0.21653026,0.61581224,0.07697653,0.12024655,8.8,444,1,0,81.061836,"100111820",FALSE,1
"834","AL","Baldwin",0,0,0,0,2010,183112,12275,0.36864063,0.25979853,0.58880746,0.15139398,0.73007894,0.2001785,91,0.48576516,0.86044973,0.12861213,38.085651,0.18990049,0.63218522,0.083035298,0.10438783,9.9,883,3,0,48.221855,"300122750",FALSE,1
"835","MD","Baltimore",2017,0,0,0,2010,806656,18658,0.43145692,0.21839991,0.64167202,0.1399281,0.79015803,0.28569764,94,0.47727609,0.84939909,0.1234602,38.194424,0.25451562,0.55883569,0.075366512,0.038321882,8.4,4310,510,-7,53.430458,"51000186580",TRUE,1
"836","MA","Barnstable",0,0,0,0,2010,215899,16402,0.3301037,0.21023017,0.56933093,0.2204389,0.87516809,0.34774458,121,0.47231317,0.9621982,0.015149647,42.200356,0.23046781,0.57616627,0.082759164,0.057769302,9.6,504,1,0,23.34425,"100164020",FALSE,1
"837","PA","Beaver",0,0,0,0,2010,170630,11683,0.25674796,0.23333494,0.59728736,0.16937767,0.75712633,0.17892379,115,0.47643381,0.93909496,0.056289058,39.669209,0.22817412,0.58553022,0.065048523,0.10813912,8.3,134,7,0,7.8532495,"700116830",FALSE,1
"839","PA","Berks",2005,0,0,1,2010,412039,14604,0.41090506,0.23310739,0.61080819,0.15608443,0.71210003,0.1888385,99,0.48331317,0.93473852,0.029724566,38.55846,0.24501033,0.57770437,0.073098086,0.052213024,8.4,513,11,5,12.450277,"1100146040",TRUE,1
"840","MA","Berkshire",0,0,0,0,2010,131317,14857,0.38394856,0.22740255,0.60375166,0.1688458,0.78553855,0.26055872,116,0.47896692,0.9696452,0.018184166,39.076538,0.27702087,0.53360975,0.080109984,0.063392468,8.5,280,3,0,21.322449,"300148570",FALSE,1
"842","TX","Bexar",2008,0,1,1,2010,1722838,11827,0.41905391,0.29183629,0.60915023,0.099013492,0.72610825,0.22585978,70,0.4851214,0.74130291,0.071427725,33.476269,0.27011096,0.53682965,0.10145038,0.16188604,7.3,3291,29,2,19.102201,"2900118270",TRUE,1
"844","TN","Bradley",2017,1,1,0,2010,99083,11768,0.48555186,0.24755806,0.64159161,0.11085033,0.65146428,0.1648322,86,0.48202464,0.95143259,0.039342307,36.132027,0.20433511,0.61865389,0.09549816,0.11255611,9.6,622,11,-7,62.775654,"1100117680",TRUE,1
"845","FL","Brevard",2002,0,0,1,2010,543965,15093,0.34981376,0.21919504,0.61442488,0.16638011,0.81692624,0.27165017,98,0.4941701,0.89827257,0.078743689,39.489761,0.20463338,0.59978211,0.10092243,0.063029505,10.9,1221,9,8,22.446297,"900150930",TRUE,1
"846","MA","Bristol",0,0,0,0,2010,549166,13853,0.36648199,0.24466696,0.61054462,0.14478843,0.66502172,0.20671864,95,0.4775964,0.95279908,0.015906779,37.270538,0.27206063,0.54999816,0.072722986,0.074257828,10.3,801,5,0,14.585753,"500138530",FALSE,1
"847","MT","Broadwater",0,0,0,0,2010,5633,10125,0.23538277,0.287824,0.54852319,0.16365281,0.72899956,0.17053609,99,0.50904161,0.98071128,0.00030138638,38.393009,0.17248216,0.65067405,0.081284694,0.13185655,7.3,1615,7,0,2867.0334,"700101250",FALSE,1
"849","CO","Broomfield",2015,0,0,0,2010,1584709,58634,0.41197291,0.26587173,0.65284532,0.081282973,0.84912115,0.31298393,228,0.49589396,0.91623735,0.013756001,33.936764,0.25922063,0.56998301,0.10631309,0.06388066,8.8,8752,14,-5,55.227806,"1400586340",TRUE,1
"850","FL","Broward",1997,0,1,1,2010,1752803,16883,0.44232124,0.20439702,0.58792281,0.2076802,0.76437026,0.24298149,108,0.47883931,0.81687999,0.15408112,41.368515,0.23536855,0.53637004,0.10250517,0.071245596,9.8,3225,11,0,18.399101,"1100168830",TRUE,1
"851","MN","Brown",0,0,0,0,2010,25843,11244,0.44607916,0.2741254,0.54973316,0.17614141,0.73358917,0.18562292,101,0.48428699,0.99284762,0.00044470798,38.236881,0.22919892,0.62113005,0.050841719,0.061402276,6.9,419,15,0,162.13287,"1500112440",FALSE,1
"852","WI","Brown",2015,0,0,0,2010,248476,13906,0.58568609,0.27056846,0.62147856,0.10795297,0.825553,0.24420612,69,0.48775914,0.95902753,0.0052005714,34.636311,0.27613163,0.57496268,0.073603116,0.066762596,7.7,3992,9,-5,160.65938,"900139060",TRUE,1
"853","PA","Bucks",0,0,0,0,2010,625385,18292,0.40815893,0.25673628,0.63440406,0.10885963,0.82944202,0.29633883,82,0.49234626,0.95023042,0.028295889,36.022537,0.24900322,0.60460597,0.060742665,0.028533248,7.4,474,17,0,7.5793309,"1700182920",FALSE,1
"855","TX","Burleson",0,0,0,0,2010,17237,9354,0.17915596,0.27251375,0.55280733,0.17467889,0.59016556,0.11430281,100,0.48763302,0.74664217,0.17834863,38.677284,0.19878316,0.59768039,0.072915673,0.1772051,7.9,265,51,0,153.73904,"510093540",FALSE,1
"857","CA","Butte",0,0,0,0,2010,219949,12083,0.26703823,0.23547111,0.5919174,0.17261146,0.79108727,0.25369149,108,0.49003953,0.90709424,0.01296398,37.910603,0.27408099,0.52827513,0.098154441,0.1222598,14.2,742,7,0,33.735092,"700120830",FALSE,1
"859","LA","Caddo",0,0,0,0,2010,255590,11604,0.43253052,0.28559172,0.58117729,0.13323101,0.73189551,0.20149098,102,0.46699938,0.59044605,0.40084511,35.936863,0.26310709,0.50172603,0.09425658,0.19108231,7.7,830,17,0,32.473885,"1700116040",FALSE,1
"860","MI","Calhoun",2015,1,1,0,2010,135951,12729,0.42990986,0.26616022,0.60029268,0.13354708,0.76802737,0.2002328,102,0.48379934,0.87318176,0.10577136,36.712543,0.24214178,0.54815137,0.11037899,0.10969055,11.4,186,25,-5,13.6814,"2500127290",TRUE,1
"861","MS","Calhoun",0,0,0,0,2010,14968,8806,0.24738395,0.26308024,0.56761467,0.16930507,0.54024667,0.1067154,118,0.47752884,0.72638851,0.27012342,38.302254,0.21143492,0.58106142,0.067686521,0.17184904,9,1242,13,0,829.7702,"130088060",FALSE,1
"862","OK","Canadian",0,0,0,0,2010,116361,13077,0.17187437,0.30184519,0.61519438,0.082960397,0.8149159,0.21337819,64,0.5005846,0.90651667,0.024405649,33.685631,0.18735705,0.65484017,0.089869425,0.064531922,5,324,17,0,27.844381,"1700130770",FALSE,1
"864","MD","Caroline",0,0,0,0,2010,33052,11926,0.21882744,0.26262254,0.59348994,0.14388755,0.67292386,0.1472193,96,0.48511189,0.82689106,0.16493434,37.258442,0.22447816,0.58294898,0.071275733,0.086624719,9.5,96,11,0,29.045141,"1100119260",FALSE,1
"865","MD","Carroll",0,0,0,0,2010,167213,16320,0.30722532,0.26561943,0.632599,0.10178161,0.79090708,0.23131146,76,0.49240509,0.96728593,0.023773627,35.27486,0.21479839,0.63969743,0.060359079,0.02497872,7,211,13,0,12.618636,"1300163200",FALSE,1
"866","TN","Carter",0,0,0,0,2010,57342,9809,0.20801865,0.22112416,0.62696826,0.15190758,0.59738678,0.13685913,114,0.48296282,0.98559362,0.0088535091,38.95018,0.20158355,0.6021744,0.095438428,0.14527363,11.1,840,19,0,146.48949,"190098090",FALSE,1
"867","MN","Cass",0,0,0,0,2010,28652,8991,0.17121747,0.2720848,0.53595519,0.19195998,0.7243796,0.16909768,121,0.5025928,0.88609976,0.0017897297,40.146206,0.19724853,0.62980169,0.073432192,0.16057312,10.6,541,21,0,188.81754,"210089910",FALSE,1
"868","ID","Cassia",0,0,0,0,2010,23080,9726,0.30181241,0.36575875,0.5101884,0.12405284,0.71312869,0.18271644,72,0.5029183,0.90006143,0.0001535941,33.271351,0.1857429,0.66360062,0.074104294,0.12012195,6.9,1474,31,0,638.64819,"310097260",FALSE,1
"870","IL","Champaign",0,0,0,0,2010,201546,13130,0.3732062,0.21826904,0.69429272,0.087438233,0.89729488,0.34734875,63,0.50566101,0.84673315,0.095702931,32.700558,0.39478359,0.47071281,0.075481489,0.080344997,8.2,534,19,0,26.495192,"1900131300",FALSE,1
"872","GA","Chatham",2007,0,0,1,2010,265799,12983,0.47081846,0.26406989,0.60837579,0.12755434,0.73694634,0.21403547,92,0.47854888,0.60205591,0.3807961,35.726383,0.26314756,0.51694667,0.10080053,0.13572079,10,1077,51,3,40.519341,"5100129830",TRUE,1
"874","PA","Chester",2008,1,1,1,2010,499925,20601,0.4313117,0.24980339,0.64132988,0.10886673,0.8475191,0.37608135,73,0.48996535,0.91640455,0.063749351,36.051357,0.26993206,0.59013718,0.061195098,0.029687375,6,319,29,2,6.3809571,"2900206010",TRUE,1
"875","VT","Chittenden",2004,1,1,1,2010,156769,16096,0.53011131,0.233878,0.68540007,0.080721915,0.87391478,0.3772226,62,0.48521185,0.97826368,0.0062157996,33.501308,0.3552416,0.50192696,0.079379208,0.050406609,5,613,7,6,39.102119,"700160960",TRUE,1
"876","OR","Clackamas",2001,0,1,1,2010,376788,16360,0.36994442,0.26682088,0.61846155,0.11471759,0.84482288,0.28907207,76,0.49128923,0.96280795,0.0040667024,36.4076,0.2062109,0.62318116,0.096829906,0.046571948,10.1,1422,5,9,37.740055,"500163600",TRUE,1
"877","NV","Clark",2003,1,0,1,2010,1952587,15109,0.65415889,0.24520439,0.65003192,0.10476372,0.76726782,0.17950629,79,0.50725394,0.81280017,0.09540379,35.777946,0.24581829,0.52321678,0.14802675,0.075171828,14,9949,3,0,50.952915,"300151090",TRUE,1
"878","GA","Clarke",2008,0,0,1,2010,117403,11604,0.45791948,0.20037901,0.71335936,0.086261615,0.82865775,0.32234967,57,0.47719023,0.70700049,0.26183301,32.054386,0.48187354,0.37370598,0.068560198,0.14247252,9.4,496,59,2,42.247643,"5900116040",TRUE,1
"879","VA","Clarke",0,0,0,0,2010,14012,15657,0.2431204,0.22816296,0.63168335,0.14015371,0.74782979,0.2048012,81,0.49491778,0.90769356,0.087100238,38.744732,0.21353368,0.60329145,0.072983749,0.065679923,6.8,448,43,0,319.72595,"4300156570",FALSE,1
"880","OK","Cleveland",2006,1,1,1,2010,257085,13182,0.23919818,0.26386347,0.66894686,0.067189664,0.84416926,0.28093576,56,0.5031994,0.88465047,0.030249121,32.477135,0.27184904,0.57126421,0.10075884,0.069621921,5.1,565,27,4,21.977167,"2700131820",TRUE,1
"881","KY","Clinton",0,0,0,0,2010,10244,6838,0.18029557,0.24838533,0.59879583,0.15281883,0.4782863,0.082029536,120,0.47728518,0.99813902,0.00065681443,38.477722,0.18423578,0.61850584,0.08690884,0.32369509,11.1,3446,53,0,3363.9204,"530068380",FALSE,1
"882","MI","Clinton",0,0,0,0,2010,75403,14153,0.2062609,0.28768378,0.61919737,0.093118876,0.83246684,0.21570866,69,0.49776274,0.97850835,0.003766218,34.511101,0.22373028,0.64102215,0.070999861,0.043042418,8.1,535,37,0,70.952087,"3700141530",FALSE,1
"883","GA","Cobb",2013,1,0,0,2010,689495,19166,0.55626082,0.25292075,0.68395627,0.06312298,0.85091943,0.36437833,51,0.49151191,0.87540674,0.098614164,33.400017,0.25437123,0.58888423,0.099637575,0.037915319,9.4,470,67,-3,6.8165832,"6700191660",TRUE,1
"884","IL","Coles",0,0,0,0,2010,53866,11315,0.38734412,0.20730385,0.65521646,0.13747966,0.81327516,0.22491299,91,0.47134227,0.97159398,0.017911084,35.806522,0.35566092,0.48181093,0.076910436,0.088612869,9.9,190,29,0,35.272713,"2900113150",FALSE,1
"887","OK","Comanche",2010,1,1,0,2010,125397,10602,0.24019159,0.28268123,0.63114649,0.086172253,0.81971759,0.19832563,73,0.51930285,0.71458298,0.17856951,32.247055,0.23885433,0.593328,0.090075918,0.13333334,5.5,272,31,0,21.691109,"3100106020",TRUE,1
"888","CA","Contracosta",2007,0,0,1,2010,1052540,20748,0.34357348,0.25143704,0.63970077,0.10886216,0.85489506,0.36796489,72,0.48952636,0.76020736,0.092788391,36.074146,0.25342995,0.56288469,0.099518411,0.054691467,11.2,2759,13,3,26.21278,"1300207480",TRUE,1
"889","IL","Cook",2004,1,0,1,2010,5199016,15697,0.46197963,0.25074011,0.62522,0.1240399,0.73519385,0.26458311,90,0.48090181,0.62779725,0.25800776,36.163517,0.33798459,0.46929672,0.08146067,0.11135932,11,6714,31,0,12.913982,"3100156970",TRUE,1
"890","MN","Cook",0,0,0,0,2010,5161,12067,0.45656669,0.24198553,0.59307134,0.16494313,0.84096307,0.29298067,65,0.49844882,0.9229576,0.0012926577,39.979836,0.1953125,0.62858075,0.081380211,0.072254337,7.2,208,31,0,403.02267,"3100120670",FALSE,1
"894","OH","Cuyahoga",2003,1,1,1,2010,1278088,14912,0.51000965,0.23948263,0.60397059,0.1565468,0.74058408,0.23648924,107,0.46969917,0.72638404,0.24798179,38.296509,0.2923198,0.49434143,0.096490547,0.10981744,8.6,2278,35,0,17.8235,"3500149120",TRUE,1
"895","FL","Dade",2000,1,1,1,2010,2506972,13686,0.42375383,0.24160418,0.61859572,0.13980013,0.6562205,0.24391656,87,0.47928029,0.72945094,0.20545879,37.589283,0.27953741,0.49849623,0.1073794,0.14154403,11.7,3879,86,10,15.472849,"8600136860",TRUE,1
"896","AR","Dallas",0,0,0,0,2010,8066,9101,0.2889536,0.26565427,0.55159146,0.18275432,0.60257864,0.10017002,134,0.47867692,0.61087996,0.3846474,39.235283,0.20892549,0.57325011,0.074379064,0.17229602,11.5,51,39,0,63.228367,"390091010",FALSE,1
"897","WI","Dane",0,0,0,0,2010,489218,15542,0.54848331,0.22702372,0.68033564,0.092640668,0.89499652,0.38480598,60,0.49147472,0.93879348,0.028633695,34.165043,0.35557783,0.50418311,0.078182854,0.048428092,5.8,568,25,0,11.610366,"2500155420",FALSE,1
"899","PA","Dauphin",0,0,0,0,2010,268281,14890,0.53241414,0.23390226,0.62307781,0.14301993,0.77364355,0.23786035,100,0.47798902,0.82367659,0.1497353,37.956093,0.27093777,0.53297609,0.081367761,0.072286315,7.8,394,43,0,14.686094,"4300148900",FALSE,1
"900","TN","Davidson",2001,1,0,1,2010,627746,15195,0.72978598,0.22816102,0.65588194,0.11595704,0.76196891,0.27058223,90,0.47474471,0.74736094,0.23350966,36.100166,0.29238355,0.48809105,0.11851946,0.10021793,8.3,2324,37,9,37.021343,"3700151950",TRUE,1
"901","GA","Dekalb",2001,1,1,1,2010,692443,17115,0.57596135,0.23734741,0.67754292,0.085109659,0.83293313,0.3613326,64,0.4792493,0.53552616,0.42214984,34.587952,0.32890722,0.48027334,0.10479123,0.072173163,11,7019,89,0,101.36575,"8900171150",TRUE,1
"902","OH","Delaware",2015,0,1,0,2010,175099,17437,0.43169627,0.27500784,0.63346231,0.091529831,0.84024084,0.28370243,56,0.49470335,0.96950501,0.021276278,34.846733,0.22120896,0.64048946,0.073865399,0.043437976,7.3,1387,41,0,79.212334,"4100174370",TRUE,1
"903","PA","Delaware",2014,0,0,0,2010,558981,17210,0.37000206,0.23118737,0.61372846,0.15508416,0.82053435,0.28717738,104,0.47676897,0.86504179,0.11210424,38.180302,0.29789901,0.52771294,0.061931394,0.049674839,7.7,716,45,-4,12.809022,"4500172100",TRUE,1
"904","OR","Deschutes",2002,1,1,1,2010,157742,13401,0.49471703,0.25781104,0.60347128,0.13871768,0.82562423,0.2423823,83,0.49806559,0.97845459,0.0011339684,37.606899,0.18167244,0.63798541,0.10289428,0.081726268,13.9,569,17,8,36.07156,"1700134010",TRUE,1
"905","MI","Dickinson",0,0,0,0,2010,26158,12338,0.46319556,0.25984868,0.55722857,0.18292274,0.7895081,0.19261944,121,0.4906638,0.9888562,0.00085721741,39.307255,0.19289123,0.61855918,0.080009542,0.074927576,11.2,3021,43,0,1154.9048,"4300123380",FALSE,1
"906","NV","Douglas",0,0,0,0,2010,47037,17620,0.63038683,0.25588885,0.62282449,0.12128668,0.85804278,0.25915617,73,0.50305748,0.94547164,0.0031117704,37.228462,0.17714286,0.64464575,0.11238095,0.057494607,14,322,5,0,68.456749,"500176200",FALSE,1
"909","MI","Eaton",0,0,0,0,2010,107746,14896,0.25173613,0.27593967,0.62482369,0.099236645,0.85260606,0.25147259,75,0.48572874,0.94261348,0.035637766,34.981544,0.23776194,0.60537857,0.086350933,0.05278825,9.4,147,45,0,13.643198,"4500148960",FALSE,1
"910","CA","Eldorado",2001,0,0,1,2010,181136,15703,0.2302393,0.26385969,0.6175245,0.11861582,0.84907365,0.28055796,70,0.50016272,0.94541848,0.0048097149,36.612278,0.19444673,0.63585728,0.099444054,0.05831448,12.5,146,17,0,8.0602417,"1700157030",TRUE,1
"911","CO","Elpaso",0,0,0,0,2010,627031,13664,0.44171491,0.27562252,0.64459693,0.079780564,0.87743455,0.30670011,55,0.50208306,0.85991931,0.072020128,32.926392,0.2435687,0.58817989,0.099596068,0.081419066,9.8,1463,41,0,23.33218,"4100136640",FALSE,1
"912","TX","Elpaso",0,0,0,0,2010,803576,9150,0.31630972,0.32591066,0.59250349,0.081585839,0.64476067,0.17759965,57,0.48613444,0.76488227,0.037372593,31.696875,0.28600779,0.54846114,0.082124688,0.22388402,9.2,1260,141,0,15.679911,"1410091500",FALSE,1
"913","PA","Erie",2002,1,1,1,2010,280799,12317,0.41189235,0.25923172,0.60278255,0.13798572,0.78251213,0.19892141,96,0.48252726,0.93579537,0.051906578,36.38662,0.28346705,0.5375492,0.073666207,0.095383368,9,296,49,8,10.541348,"4900123170",TRUE,1
"914","MA","Essex",0,0,0,0,2010,745461,17586,0.38047546,0.23665383,0.62205857,0.14128761,0.80119973,0.3175182,92,0.47745195,0.91993046,0.023592705,37.577976,0.29054296,0.53176254,0.072633408,0.074793644,8.4,464,9,0,6.2243361,"900175860",FALSE,1
"916","LA","Evangeline",0,0,0,0,2010,33956,7041,0.17812707,0.31526116,0.55166197,0.13307688,0.491245,0.1087901,104,0.47869208,0.73345554,0.26149547,35.098366,0.21994099,0.57978857,0.062658802,0.31366956,8.1,731,39,0,215.27859,"390070410",FALSE,1
"917","VA","Fairfax",0,0,0,0,2010,1086155,24833,0.49015006,0.24440742,0.69018209,0.065410517,0.90079308,0.51113188,42,0.49722081,0.81286585,0.0773592,34.46423,0.28533232,0.58286625,0.070411518,0.021998482,5.2,1552,59,0,14.288937,"5900248330",FALSE,1
"918","CT","Fairfield",0,0,0,0,2010,919355,26161,0.49779314,0.22609331,0.6409173,0.13298939,0.81031883,0.37610039,84,0.48169446,0.84619612,0.098495126,38.085812,0.28791606,0.54969561,0.070840441,0.044633105,8.8,944,1,0,10.268068,"100261610",FALSE,1
"919","KY","Fayette",2014,1,1,0,2010,296848,14962,0.6141876,0.22370721,0.67728937,0.099003397,0.81037813,0.32839355,76,0.47815996,0.84506094,0.13375132,34.873192,0.31469151,0.49783722,0.10505048,0.10224535,7.5,1551,67,-4,52.248962,"6700149620",TRUE,1
"920","NE","Fillmore",0,0,0,0,2010,5871,11961,0.22708714,0.26481768,0.51780939,0.21737294,0.80635285,0.19651741,154,0.48500633,0.9914121,0.0019709982,41.165703,0.1876348,0.64701653,0.045650613,0.062626265,3.8,1540,59,0,2623.0625,"5900119610",FALSE,1
"921","FL","Flagler",0,0,0,0,2010,96066,15124,0.29134873,0.19089927,0.5531863,0.25591442,0.77899051,0.21958585,120,0.47928643,0.90000349,0.082436152,45.280407,0.14892823,0.68775654,0.069944859,0.066195652,12,2155,35,0,224.32494,"3500151240",FALSE,1
"923","LA","Franklin",0,0,0,0,2010,20810,7607,0.20114352,0.30732122,0.53950953,0.15316924,0.54707098,0.1096599,134,0.47272971,0.68244964,0.3144682,36.377274,0.24555011,0.54479754,0.06229841,0.2884289,10.5,228,41,0,109.56271,"410076070",FALSE,1
